obs;Inflat;Unempl;FedFunds
1960Q1;0.908;5.133;3.933
1960Q2;1.811;5.233;3.697
1960Q3;1.623;5.533;2.937
1960Q4;1.795;6.267;2.297
1961Q1;0.537;6.800;2.003
1961Q2;0.715;7.000;1.733
1961Q3;0.892;6.767;1.683
1961Q4;1.068;6.200;2.400
1962Q1;2.303;5.633;2.457
1962Q2;1.235;5.533;2.607
1962Q3;1.055;5.567;2.847
1962Q4;1.228;5.533;2.923
1963Q1;1.573;5.767;2.967
1963Q2;0.349;5.733;2.963
1963Q3;0.523;5.500;3.330
1963Q4;2.430;5.567;3.453
1964Q1;1.382;5.467;3.463
1964Q2;1.205;5.200;3.490
1964Q3;2.057;5.000;3.457
1964Q4;1.706;4.967;3.577
1965Q1;1.869;4.900;3.973
1965Q2;1.860;4.667;4.077
1965Q3;1.684;4.367;4.073
1965Q4;2.679;4.100;4.167
1966Q1;2.329;3.867;4.557
1966Q2;3.633;3.833;4.913
1966Q3;3.926;3.767;5.410
1966Q4;3.566;3.700;5.563
1967Q1;1.771;3.833;4.823
1967Q2;2.562;3.833;3.990
1967Q3;3.654;3.800;3.893
1967Q4;4.404;3.900;4.173
1968Q1;4.511;3.733;4.787
1968Q2;4.461;3.567;5.980
1968Q3;3.654;3.533;5.943
1968Q4;5.569;3.400;5.917
1969Q1;3.868;3.400;6.567
1969Q2;5.440;3.433;8.327
1969Q3;5.799;3.567;8.983
1969Q4;5.148;3.567;8.940
1970Q1;5.504;4.167;8.573
1970Q2;5.567;4.767;7.880
1970Q3;3.166;5.167;6.703
1970Q4;5.177;5.833;5.567
1971Q1;6.045;5.933;3.857
1971Q2;5.298;5.900;4.563
1971Q3;4.058;6.033;5.473
1971Q4;3.243;5.933;4.750
1972Q1;5.899;5.767;3.540
1972Q2;2.412;5.700;4.300
1972Q3;3.904;5.567;4.740
1972Q4;4.734;5.367;5.143
1973Q1;5.290;4.933;6.537
1973Q2;6.546;4.933;7.817
1973Q3;7.504;4.800;10.560
1973Q4;6.786;4.767;9.997
1974Q1;8.039;5.133;9.323
1974Q2;8.883;5.200;11.250
1974Q3;12.049;5.633;12.090
1974Q4;12.011;6.600;9.347
1975Q1;9.110;8.267;6.303
1975Q2;5.590;8.867;5.420
1975Q3;7.202;8.467;6.160
1975Q4;6.880;8.300;5.413
1976Q1;4.265;7.733;4.827
1976Q2;4.220;7.567;5.197
1976Q3;5.495;7.733;5.283
1976Q4;6.903;7.767;4.873
1977Q1;6.604;7.500;4.660
1977Q2;6.497;7.133;5.157
1977Q3;5.599;6.900;5.820
1977Q4;6.652;6.667;6.513
1978Q1;6.714;6.333;6.757
1978Q2;7.861;6.000;7.283
1978Q3;7.052;6.033;8.100
1978Q4;7.979;5.900;9.583
1979Q1;7.665;5.867;10.073
1979Q2;8.993;5.700;10.180
1979Q3;8.114;5.867;10.947
1979Q4;8.027;5.967;13.577
1980Q1;8.959;6.300;15.047
1980Q2;9.118;7.333;12.687
1980Q3;8.915;7.667;9.837
1980Q4;10.550;7.400;15.853
1981Q1;10.081;7.433;16.570
1981Q2;7.058;7.400;17.780
1981Q3;7.699;7.400;17.577
1981Q4;7.241;8.233;13.587
1982Q1;5.577;8.833;14.227
1982Q2;5.136;9.433;14.513
1982Q3;5.491;9.900;11.007
1982Q4;4.114;10.667;9.287
1983Q1;3.190;10.367;8.653
1983Q2;3.573;10.133;8.803
1983Q3;3.368;9.367;9.460
1983Q4;3.340;8.533;9.430
1984Q1;4.788;7.867;9.687
1984Q2;3.329;7.433;10.557
1984Q3;3.135;7.433;11.390
1984Q4;2.778;7.300;9.267
1985Q1;4.241;7.233;8.477
1985Q2;2.621;7.300;7.923
1985Q3;2.117;7.200;7.900
1985Q4;2.806;7.033;8.103
1986Q1;1.556;7.033;7.827
1986Q2;1.870;7.167;6.920
1986Q3;2.498;6.967;6.207
1986Q4;2.850;6.833;6.267
1987Q1;3.561;6.600;6.220
1987Q2;2.805;6.267;6.650
