obs,date,ramey,tbr,barrotax,hours,govsaving,y,p,dtfp,g,gdpr,gdpp,invrtotal,dutil,govcons,govint,govtax,govtransf,govsocsec,compens,rfixinvest,nfixinvest
1948Q1,1948,0.691496694346152,0.99,0.193000003695488,88.174,5,12.575,15.322,10.3745455923315,488.594,1989.5,13.379,262.632,-0.880453168015839,19.232,5.536,52.3,13.3,4.8,36.217,8.529,28.2
1948Q2,1948.25,1.31490269539725,1,0.193000003695488,88.127,2.5,12.537,15.575,10.7389073986996,504.966,2021.9,13.497,278.885,-2.85969495655853,19.704,6.549,51.4,13,4.6,36.138,8.245,28
1948Q3,1948.5,0,1.05,0.193000003695488,88.754,-1.1,12.643,15.873,-2.63814775494444,515.048,2033.2,13.747,281.741,-0.990710825660823,20.037,6.882,50.8,14.6,4.6,36.261,8.265,29.1
1948Q4,1948.75,0,1.14,0.193000003695488,87.932,-2.7,12.576,16.097,1.76350130827613,533.794,2035.3,13.789,268.267,-1.27282725837003,20.637,7.852,50.9,14,4.5,36.951,8.456,30.2
1949Q1,1949,0,1.17,0.187000006437302,86.451,-6,12.485,15.993,-2.59176579645117,548.58,2007.5,13.717,228.041,-3.46639278609464,20.894,7.99,49.2,15.3,5.2,37.54,8.06,28.6
1949Q2,1949.25,0,1.17,0.187000006437302,85.005,-9.2,12.405,15.833,5.25031103715827,572.489,2000.8,13.579,197.725,-5.75750586004941,21.395,8.88,47.5,16.1,5.1,37.668,7.76,27.5
1949Q3,1949.5,0,1.04,0.187000006437302,84.113,-9.5,12.57,15.792,4.06156051168822,577.631,2022.8,13.509,214.117,2.81327402579485,21.12,8.684,47.7,16.5,4.8,38.065,7.406,26.1
1949Q4,1949.75,-0.731923566568683,1.08,0.187000006437302,83.776,-9.5,12.453,15.736,0.794861651320872,565.759,2004.7,13.518,203.585,-3.60931532680864,20.683,8.368,46.9,16.1,4.5,38.033,7.314,25.6
1950Q1,1950,0,1.1,0.210999995470047,84.425,-11.6,12.984,15.784,8.95171162081942,557.123,2084.6,13.49,251.917,7.97087445305636,20.741,8.83,51.8,23.7,5.3,39.14,7.526,26.4
1950Q2,1950.25,2.73826482381444,1.15,0.210999995470047,86.508,-0.6,13.454,15.855,-1.43143337615454,566.567,2147.6,13.538,278.877,9.50800698758384,20.951,9.44,56.4,17,5.3,39.684,8.153,28.9
1950Q3,1950.5,61.7053151235239,1.22,0.210999995470047,89.237,9.6,14.179,16.031,-0.00540572873620171,557.315,2230.4,13.832,302.85,8.04864949867529,20.307,7.165,63.2,13.4,5.5,39.732,8.829,31.9
1950Q4,1950.75,40.1923304139396,1.34,0.210999995470047,90.06,10,14.331,16.364,1.28296655032289,597.213,2273.4,14.09,341.332,-0.73391637791133,22.179,7.753,67.8,13.9,5.8,39.909,8.816,32.9
1951Q1,1951,1.2800206361805,1.37,0.247999995946884,91.574,12.7,14.602,16.808,-0.910914012719354,660.893,2304.5,14.596,306.454,-1.38431545736026,24.186,11.222,75.8,13.3,6.6,39.279,8.585,33.1
1951Q2,1951.25,0,1.49,0.247999995946884,92.31,5,14.668,17.04,-0.752780137317645,748.837,2344.5,14.692,313.558,1.40086660279489,26.905,11.989,72.7,13.7,6.7,39.763,8.689,34.1
1951Q3,1951.5,0,1.6,0.247999995946884,91.398,-0.6,14.856,17.145,11.0378279738932,830.933,2392.8,14.701,290.47,-3.56223421476437,29.514,14.498,72.4,13.9,6.6,40.23,8.79,34.8
1951Q4,1951.75,0,1.61,0.247999995946884,91.441,0.7,14.898,17.264,0.613695699072346,874.767,2398.1,14.869,267.326,-1.21637749650754,30.25,15.265,76.5,13.9,6.7,40.402,8.646,34.6
1952Q1,1952,-0.140216713118781,1.57,0.26800000667572,92.03,1.2,15.058,17.292,-2.15308244446515,900.516,2423.5,14.863,274.301,2.18286276510336,31.438,16.522,76.8,12.3,7,40.673,8.73,35.1
1952Q2,1952.25,-1.27711422115632,1.65,0.26800000667572,91.648,-2.4,14.984,17.294,10.533981745672,930.716,2428.5,14.882,253.621,-8.25945605942113,32.885,18.558,77.4,13.1,6.8,40.873,8.868,35.8
1952Q3,1952.5,0.221357236845426,1.78,0.26800000667572,92.307,-4.8,15.033,17.473,-3.77210817696889,940.03,2446.1,15.048,267.217,4.45844227421393,33.209,18.738,78.2,14,6.9,41.095,8.177,32.9
1952Q4,1952.75,0,1.89,0.26800000667572,94.778,-2.5,15.742,17.609,0.229340307730326,955.574,2526.4,15.091,286.467,6.96065925660941,33.686,19.727,81.7,13.2,7.1,42.071,8.902,35.8
1953Q1,1953,-1.96729002611892,1.98,0.266000002622604,95.761,-1.5,16.031,17.639,6.13403689978406,985.513,2573.4,15.096,292.632,-1.11869765447166,34.42,20.72,83.8,13.6,7.1,42.68,9.384,37.8
1953Q2,1953.25,-1.13266903495749,2.15,0.266000002622604,95.929,-3.3,16.11,17.745,4.11190815926223,1005.93,2593.5,15.125,294.299,-2.6891758833498,34.997,21.464,84.3,13.6,7.2,43.023,9.478,38.5
1953Q3,1953.5,-2.98258324338848,1.96,0.266000002622604,94.972,-2.6,16.028,17.8,2.5879915854273,995.234,2578.9,15.188,288.145,-5.3879206299174,34.522,20.522,83.7,13.6,7.2,43.285,9.69,39.6
1953Q4,1953.75,-0.255303879374105,1.47,0.266000002622604,93.477,-9.3,15.716,17.828,-0.217018735845778,992.371,2539.8,15.219,267.328,-5.6230206327311,34.766,21.13,78.7,14.1,7.1,43.634,9.602,39.2
1954Q1,1954,0,1.06,0.24099999666214,92.221,-9.8,15.532,17.89,4.38737897852401,967.271,2528,15.266,265.414,-5.02392626864157,33.25,18.733,75.3,14.7,8.1,43.912,9.35,38.3
1954Q2,1954.25,0,0.79,0.24099999666214,91.526,-8.4,15.525,17.915,2.03049502759533,934.283,2530.7,15.281,264.787,0.81146561438559,32.043,17.017,75.7,15.1,8.1,44.032,9.266,38.2
1954Q3,1954.5,-1.29289580029381,0.88,0.24099999666214,91.168,-7.6,15.745,17.891,4.39351623797089,914.284,2559.4,15.3,277.56,-0.0600766003719891,31.74,16.114,76.7,16,8.1,44.496,9.502,38.9
1954Q4,1954.75,0,1.02,0.24099999666214,92.31,-6.3,16.129,17.961,1.79574425810405,908.555,2609.3,15.343,289.723,4.43890748628162,31.694,16.009,79,16.8,8.2,45.064,9.489,38.9
